,SiteEnergyUse(kBtu),TotalGHGEmissions,NumberofBuildings,NumberofFloors,PropertyGFATotal,ENERGYSTARScore,age_batiment,PrimaryPropertyType
618,291614432.0,12307.16,7.0,14,1765970,54.0,22,Other
619,11147342.0,406.04,3.0,4,62600,65.6,88,Other
620,2655387.5,20.85,1.0,4,77412,62.0,12,Mixed Use Property
621,12731388.0,133.5,1.0,5,289419,59.0,26,Other
622,7771933.5,54.18,1.0,5,90266,18.0,29,Other
623,1165598.875,14.49,1.0,4,87332,87.0,12,Warehouse
624,13410041.0,453.76,1.0,6,150545,28.0,13,Hotel
625,19085174.0,341.23,1.0,5,141718,59.4,17,Other
626,9444484.0,278.97,1.0,5,111856,8.0,8,Hotel
627,1083729.625,7.56,1.0,4,132828,83.0,28,Warehouse
628,13962749.0,284.01,1.0,1,70400,1.0,46,Warehouse
629,10713006.0,295.12,1.0,1,101830,60.0,21,Retail Store
631,7575080.0,109.71,2.0,4,114000,59.8,42,Other
633,1069749.75,13.07,1.0,1,152365,88.0,51,Warehouse
634,25471308.0,189.85,1.0,6,320946,57.0,106,Other
635,5402181.0,134.82,1.0,1,74178,60.8,58,Retail Store
636,686019.1875,16.27,1.0,4,80360,96.0,29,Warehouse
638,10077532.0,267.0,1.0,3,119190,71.0,20,Other
639,1938613.125,13.51,1.0,2,51856,65.4,8,Other
640,7070998.5,49.29,1.0,3,66138,3.0,95,Mixed Use Property
641,17880184.0,128.73,1.0,3,113944,1.0,56,Large Office
644,1997181.5,25.6,1.0,3,93079,32.0,16,Other
651,778355.8125,31.74,1.0,2,22220,90.0,59,Worship Facility
656,2042771.0,30.52,1.0,1,44700,79.4,54,Mixed Use Property
657,1618916.375,11.29,1.0,1,44100,1.0,40,Warehouse
658,1224186.25,24.39,1.0,1,27800,13.0,51,Other
660,2564004.0,17.87,1.0,1,46340,3.0,15,Warehouse
661,2222097.5,101.5,3.0,1,22800,72.6,22,Other
663,1950713.25,36.02,1.0,3,38460,69.0,106,Small- and Mid-Sized Office
669,945245.625,43.84,1.0,2,21022,54.0,94,Worship Facility
680,2143650.75,86.46,1.0,1,48001,49.0,49,Other
681,509124.0,3.58,1.0,1,26380,69.4,37,Warehouse
682,2559461.75,77.04,1.0,1,37351,10.0,47,Warehouse
683,345866.6875,2.41,1.0,1,30375,73.0,35,Warehouse
